City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Longyearbyen,SJ,78.2186,15.6401,22.84,63,0,13.8,clear sky
259,Shingu,JP,33.7333,135.9833,70.23,97,100,9.69,light rain
260,La Ronge,CA,55.1001,-105.2842,50.22,43,100,16.11,overcast clouds
261,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,0,2.3,clear sky
262,Sobolevo,RU,54.4299,31.8996,44.44,90,69,7.92,broken clouds
263,Asaka,JP,35.8047,139.6019,69.8,92,100,16.67,moderate rain
264,Zaysan,KZ,47.4667,84.8667,61.52,35,63,6.46,broken clouds
265,Ugoofaaru,MV,5.6667,73.0,82.92,79,100,21.97,light rain
266,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,83,0.0,broken clouds
267,Pueblo Nuevo,MX,23.3833,-105.3833,80.26,31,27,8.99,scattered clouds
268,Harper,LR,4.375,-7.7169,80.96,83,84,8.21,broken clouds
269,Nemuro,JP,43.3236,145.575,45.72,99,100,19.82,moderate rain
270,Coari,BR,-4.085,-63.1414,81.39,91,88,3.85,overcast clouds
271,Yar-Sale,RU,66.8333,70.8333,37.0,87,100,9.86,overcast clouds
272,Ponta Do Sol,PT,32.6667,-17.1,70.0,81,18,3.76,few clouds
273,Yerbogachen,RU,61.2767,108.0108,38.93,96,96,3.76,overcast clouds
274,Port-Gentil,GA,-0.7193,8.7815,81.23,84,60,11.81,broken clouds
275,Paraiso,CR,9.8383,-83.8656,73.89,91,87,2.53,overcast clouds
276,Derzhavinsk,KZ,51.1,66.3167,55.33,63,25,9.33,scattered clouds
277,Luena,AO,-11.7833,19.9167,63.39,57,34,5.46,scattered clouds
278,Oranjemund,NA,-28.55,16.4333,55.11,91,100,10.27,overcast clouds
279,Pangai,TO,-19.8,-174.35,75.31,64,20,11.5,few clouds
280,Ballina,AU,-28.8667,153.5667,67.78,85,99,13.33,overcast clouds
281,Severo-Kurilsk,RU,50.6789,156.125,38.73,96,100,15.52,overcast clouds
282,Lincoln,US,40.8,-96.667,82.0,31,0,3.44,clear sky
283,Jacareacanga,BR,-6.2222,-57.7528,78.96,91,100,3.56,heavy intensity rain
284,Marienburg,PL,54.0359,19.0266,54.12,79,55,5.12,broken clouds
285,Yulara,AU,-25.2406,130.9889,65.62,49,97,6.49,overcast clouds
286,Fallon,US,39.4735,-118.7774,67.44,16,75,6.91,broken clouds
287,Taft,IR,31.7471,54.2088,67.95,24,0,6.91,clear sky
288,Alta Floresta,BR,-9.8756,-56.0861,93.02,46,20,5.75,few clouds
289,Kodiak,US,57.79,-152.4072,49.51,40,0,19.57,clear sky
290,Santa Cruz,BO,-17.8,-63.1667,85.46,48,20,23.02,few clouds
291,Narsaq,GL,60.9167,-46.05,41.22,76,83,5.73,broken clouds
292,Castanos,MX,26.7833,-101.4167,87.39,48,40,9.22,scattered clouds
293,Hondo,JP,32.45,130.2,65.57,91,100,7.76,moderate rain
294,Saint-Francois,FR,46.4154,3.9054,60.67,77,0,0.0,clear sky
295,Tabuk,PH,17.4189,121.4443,76.41,90,47,2.08,scattered clouds
296,Araouane,ML,18.9048,-3.5265,91.17,9,34,12.55,scattered clouds
297,Rehoboth,NA,-23.3167,17.0833,59.5,26,5,8.34,clear sky
298,Parambu,BR,-6.2111,-40.6944,76.44,81,84,3.38,broken clouds
299,Moron,AR,-34.6534,-58.6198,67.01,65,100,3.24,overcast clouds
300,Porosozero,RU,62.7191,32.727,43.5,95,100,4.88,overcast clouds
301,Gushikawa,JP,26.3544,127.8686,74.79,94,100,8.05,overcast clouds
302,Ismailia,EG,30.6043,32.2723,69.37,60,69,15.19,broken clouds
303,Pedra Branca,BR,-5.4542,-39.7172,75.0,84,86,3.78,overcast clouds
304,Mossendjo,CG,-2.9506,12.7261,70.83,98,96,0.69,light rain
305,Gondanglegi,ID,-7.7479,112.0132,75.7,92,100,4.68,overcast clouds
306,Barinas,VE,8.6226,-70.2075,75.24,100,100,8.05,overcast clouds
307,Turayf,SA,31.6725,38.6637,71.85,30,0,8.05,clear sky
308,Bar Harbor,US,44.3876,-68.2039,73.53,90,100,11.5,overcast clouds
309,Dandong,CN,40.1292,124.3947,44.29,50,4,6.11,clear sky
310,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,81.23,92,79,3.51,broken clouds
311,Pevek,RU,69.7008,170.3133,27.23,79,91,18.61,overcast clouds
312,San Isidro,PE,-12.1167,-77.05,66.51,42,75,13.8,broken clouds
313,Madang,PG,-5.2246,145.7966,75.9,91,45,2.89,scattered clouds
314,Neiafu,TO,-18.65,-173.9833,75.88,60,40,0.0,scattered clouds
315,Neon Monastirion,GR,39.2333,22.25,63.99,50,53,5.23,broken clouds
316,Portland,US,45.5234,-122.6762,59.56,58,100,4.61,overcast clouds
317,Guerrero,MX,17.6667,-100.0,89.65,31,100,5.35,overcast clouds
318,Esna,EG,25.2934,32.554,92.68,13,0,0.6,clear sky
319,Pandan,PH,14.0453,124.1694,78.91,87,100,6.87,overcast clouds
320,Tura,IN,25.5198,90.2201,71.35,97,31,7.72,scattered clouds
321,Young,UY,-32.6833,-57.6333,61.9,67,100,4.74,overcast clouds
322,Tual,ID,-5.6667,132.75,83.75,74,38,8.16,scattered clouds
323,Keuruu,FI,62.2667,24.7,46.58,76,25,4.47,scattered clouds
324,Leningradskiy,RU,69.3833,178.4167,29.43,76,4,5.28,clear sky
325,Shetpe,KZ,44.1667,52.1167,56.8,57,19,14.81,few clouds
326,Lata,PT,40.1629,-8.3327,66.36,53,100,2.73,overcast clouds
327,Zapolyarnyy,RU,69.4154,30.8136,34.88,88,50,1.45,scattered clouds
328,Wad Madani,SD,14.4012,33.5199,98.98,19,0,5.39,clear sky
329,Otradnoye,RU,59.7775,30.8181,50.09,72,65,10.33,broken clouds
330,Crotone,IT,39.0851,17.1178,65.19,70,3,5.79,clear sky
331,Khani,GE,41.9563,42.9566,44.17,59,0,5.91,clear sky
332,San Luis,AR,-33.295,-66.3356,59.02,70,99,10.16,overcast clouds
333,Marsh Harbour,BS,26.5412,-77.0636,77.85,72,99,9.6,light rain
334,Aswan,EG,24.0934,32.907,94.35,12,0,10.8,clear sky
335,Tommot,RU,58.9564,126.2925,37.11,98,100,4.54,overcast clouds
336,Ndele,CF,8.4109,20.6473,76.66,72,39,4.99,scattered clouds
337,Taoudenni,ML,22.6783,-3.9836,92.08,9,78,12.39,broken clouds
338,Tilichiki,RU,60.4667,166.1,33.33,98,100,1.99,overcast clouds
339,Airai,TL,-8.9266,125.4092,59.92,95,72,1.52,broken clouds
340,Killybegs,IE,54.6333,-8.45,52.2,85,83,13.53,broken clouds
341,Najran,SA,17.4924,44.1277,79.45,16,100,5.21,overcast clouds
